id,name,Id_input
319501,Generic footer,2268033
473572,Combo box,2268033
2098585,Action confirmation 3,319537
2098594,Action confirmation 4,319537
2098810,Welcome modal 1,319537
2098818,Welcome modal 2,319537
2139479,Media popup 1,319537
48667,Dashboard menu sidebar,48667
2098602,Breadcrumb,48667
2139458,Navigation drawer 1,48667
2288403,Basic bottom sheet,48667
2288450,Snackbar,48667
319537,Action confirmation 1,319537
2098585,Action confirmation 3,319537
2098594,Action confirmation 4,319537
2288653,Action confirmation 1,319537
473525,Action confirmation 2,319537
2725,Edit profile,2725
2288653,Action confirmation 1,2725
473596,Create new item,2725
2139535,Inline message 1,2725
2288601,Project sharing,2725
2288531,Horizontal media card,4788
4788,Horizontal media card,4788
2288575,Message card,4788
